rank,age,height_cm,weight_kg,bmi,19.1_rank,19.2_rank,19.3_rank,19.4_rank,19.5_rank
10101,41,175.0,84.0,27.4,20070,19517,9390,15331,13070
10102,43,191.0,98.0,26.9,8828,10039,22279,21103,15130
10103,32,191.0,102.0,28.0,7652,8333,20585,24411,16412
10104,29,170.0,83.0,28.7,40098,7039,7133,14094,9034
10104,25,176.0,80.0,25.8,13218,14134,10820,30236,8990
10106,24,178.0,84.0,26.5,5891,6781,23448,24282,16999
10107,34,173.0,73.0,24.4,46622,9533,12111,1573,7564
10108,24,178.0,84.0,26.5,13218,15747,20659,18244,9537
10109,24,164.0,67.0,24.9,60845,9030,3845,904,2797
10109,19,178.0,82.0,25.9,30006,10845,5241,9398,21931
10111,27,176.0,80.0,25.8,14443,11759,17349,20622,13251
10112,25,173.0,78.0,26.1,51743,6034,5126,8015,6518
10113,33,175.0,75.0,24.5,22820,26017,8603,11872,8134
10114,50,178.0,77.0,24.3,8179,19390,21004,17136,11769
10115,30,175.0,76.0,24.8,18387,5687,40109,6650,6647
10116,29,175.0,79.0,25.8,19508,10780,33683,7538,5988
10117,35,178.0,82.0,25.9,14443,20206,5423,26367,11059
10118,44,178.0,83.0,26.2,20685,6694,27008,13116,9996
10119,25,178.0,84.0,26.5,6260,26851,18389,20995,5019
10120,27,183.0,80.0,23.9,15232,17550,17515,14634,12598
10121,31,178.0,84.0,26.5,4465,6171,44832,12565,9498
10122,27,182.0,90.0,27.2,4068,26992,17349,15086,14040
10123,19,185.0,80.0,23.4,24248,14747,13418,14925,10199
10124,29,189.0,93.0,26.0,2056,7735,37279,19695,10775
10125,32,178.0,84.0,26.5,22820,8587,18656,13312,14166
10126,40,173.0,70.0,23.4,50223,14858,3778,2615,6069
10127,34,173.0,86.0,28.7,25056,11295,4450,19443,17303
10128,20,170.0,73.0,25.3,30006,18993,4699,5756,18098
10129,26,179.0,91.0,28.4,13218,27099,11248,16660,9332
10130,25,175.0,84.0,27.4,29001,5611,26439,5492,11015
10131,34,190.0,91.0,25.2,12109,8149,28438,16902,11962
10132,26,183.0,93.0,27.8,3165,4098,12260,42359,15680
10133,29,183.0,90.0,26.9,45485,7363,9208,8137,7375
10134,26,176.0,81.0,26.1,18902,12615,32332,9865,3858
10135,31,170.0,77.0,26.6,44376,6072,5391,17757,3977
10136,27,173.0,77.0,25.7,47717,5848,5505,3385,15130
10137,17,173.0,82.0,27.4,18387,14205,6797,24341,13856
10139,36,180.0,89.0,27.5,17871,14024,11185,20170,14357
10140,32,173.0,71.0,23.7,28158,18951,19829,5621,5053
10142,30,178.0,78.0,24.6,1564,24394,12629,20274,18758
10143,34,180.0,92.0,28.4,7652,22985,8280,12676,26038
10144,31,178.0,84.0,26.5,15232,12971,6441,13142,29847
10145,28,185.0,80.0,23.4,18902,28208,5027,13784,11714
10146,40,180.0,95.0,29.3,13831,7618,7500,15014,33677
10147,33,178.0,88.0,27.8,18902,16422,10661,17169,14488
10148,32,165.0,73.0,26.8,47717,10602,10618,3668,5053
10149,28,176.0,79.0,25.5,15232,12958,35994,5621,7854
10150,26,187.0,85.0,24.3,4465,24281,15089,19744,14100
10151,42,180.0,87.0,26.9,12686,13113,17740,17890,16261
10152,31,181.0,77.0,23.5,12686,19273,17642,10941,17150
10153,30,178.0,84.0,26.5,17433,32128,19666,5999,2474
10154,26,178.0,77.0,24.3,13831,26488,8549,20806,8038
10155,30,180.0,73.0,22.5,14443,16316,39347,3260,4349
10155,31,185.0,84.0,24.5,15232,16196,22221,16125,7941
10157,30,180.0,84.0,25.9,27384,9594,12445,17914,10382
10158,27,173.0,72.0,24.1,40098,7930,12668,5492,11533
10160,30,175.0,79.0,25.8,30006,9492,12717,14462,11059
10161,22,181.0,80.0,24.4,13218,34758,11726,4968,13070
10161,39,180.0,87.0,26.9,21334,10721,11066,16690,17929
10163,22,182.0,80.0,24.2,8179,20739,13241,15331,20254
10164,17,178.0,70.0,22.1,33428,18611,7687,7355,10665
10165,39,177.0,88.0,28.1,25056,6497,28345,13565,4287
10166,27,178.0,84.0,26.5,11645,16712,16472,9365,23557
10167,36,186.0,94.0,27.2,14443,13744,23436,12955,13188
10168,32,163.0,66.0,24.8,47717,6705,11248,5621,6483
10169,33,168.0,84.0,29.8,39132,8587,4458,14359,11243
