rank,age,height_cm,weight_kg,bmi,19.1_rank,19.2_rank,19.3_rank,19.4_rank,19.5_rank
28066,44,178.0,83.0,26.2,39132,34712,27156,61533,21306
28067,29,178.0,96.0,30.3,24248,75818,31683,31235,20864
28068,34,170.0,84.0,29.1,20685,29748,72329,27414,33677
28069,31,181.0,85.0,25.9,28158,38316,59103,45784,12493
28070,26,178.0,93.0,29.4,41254,27960,54805,35658,24196
28070,29,186.0,88.0,25.4,30006,37912,60369,29939,25647
28073,24,178.0,84.0,26.5,9188,124190,7351,24718,18428
28074,18,190.0,72.0,19.9,37269,21753,73527,31706,19627
28075,22,175.0,71.0,23.2,59872,40798,16480,33058,33677
28077,45,170.0,70.0,24.2,84924,34516,20384,13831,30233
28078,26,178.0,73.0,23.0,51743,34289,28577,28014,41267
28079,36,180.0,76.0,23.5,60845,27877,19412,25663,50096
28080,30,178.0,93.0,29.4,42298,32026,49520,31781,28272
28081,31,178.0,84.0,26.5,33428,22616,34331,58241,35296
28082,36,178.0,98.0,30.9,44376,21274,22941,48294,47044
28083,42,185.0,94.0,27.5,20685,28824,49203,58241,26987
28084,36,188.0,102.0,28.9,11645,22667,6370,5879,137383
28085,35,183.0,84.0,25.1,51743,49650,19220,21018,42321
28086,44,178.0,84.0,26.5,37269,47990,34534,35343,28827
28088,35,188.0,93.0,26.3,22015,28851,31966,68595,32543
28089,34,178.0,83.0,26.2,39132,37352,25718,28563,53209
28090,41,178.0,84.0,26.5,51743,32224,38204,26145,35663
28091,38,178.0,93.0,29.4,30006,16199,78344,42520,16918
28092,35,183.0,91.0,27.2,29001,17768,45031,64813,27392
28093,27,180.0,79.0,24.4,66670,51340,12916,22850,30233
28094,36,183.0,98.0,29.3,38189,14265,71862,26024,33677
28094,27,170.0,91.0,31.5,42298,23128,50024,42285,26282
28094,26,188.0,95.0,26.9,23544,31070,39810,45288,44305
28097,38,178.0,84.0,26.5,47717,33905,30595,38124,33677
28098,29,180.0,88.0,27.2,37269,22975,60842,32147,30789
28099,30,168.0,77.0,27.3,30006,1243,7433,7960,137383
28100,29,173.0,77.0,25.7,64185,39868,19234,35779,24966
28101,26,171.0,67.0,22.9,51743,60947,14834,29522,26987
28102,35,178.0,74.0,23.4,39132,41475,56829,21225,25378
28103,32,178.0,84.0,26.5,30006,38551,25538,49601,40358
28104,28,178.0,82.0,25.9,82969,37912,23937,26461,12776
28105,51,190.0,95.0,26.3,37269,46926,43863,34693,21306
28106,25,184.0,83.0,24.5,23544,32944,51604,43423,32543
28107,32,180.0,77.0,23.8,12686,30854,68730,40377,31413
28108,38,183.0,82.0,24.5,64185,23414,48208,29152,19103
28109,37,183.0,84.0,25.1,58854,39574,40524,26618,18506
28110,31,178.0,84.0,26.5,58854,17301,54540,39949,13433
28111,38,178.0,84.0,26.5,12109,67108,54501,19594,30789
28112,27,178.0,84.0,26.5,64185,36735,28625,18349,36211
28113,40,183.0,90.0,26.9,30006,21182,55012,52690,25220
28114,43,178.0,84.0,26.5,51743,43533,32149,40574,16130
28115,29,178.0,99.0,31.2,25821,51715,45381,25550,35663
28116,31,178.0,84.0,26.5,38189,38667,21571,28335,57369
28117,22,175.0,75.0,24.5,5102,28158,4048,9441,137383
28118,27,181.0,80.0,24.4,37269,29071,30941,20700,66168
28119,42,178.0,84.0,26.5,17433,28310,91029,28523,18860
28120,30,180.0,88.0,27.2,40098,14840,44733,36100,48386
28120,41,183.0,102.0,30.5,30006,45968,29323,42649,36211
28122,28,175.0,79.0,25.8,67855,24326,43257,21734,26987
28123,29,178.0,91.0,28.7,51743,20886,68506,23242,19785
28124,28,178.0,84.0,26.5,35431,43220,46459,25378,33677
28125,35,185.0,85.0,24.8,59872,36958,22259,35488,29591
28126,41,178.0,80.0,25.2,64185,52581,17706,31932,17768
28127,31,178.0,84.0,26.5,41254,27780,48787,32678,33677
28128,30,173.0,70.0,23.4,41254,37676,52350,31404,21493
28129,32,173.0,75.0,25.1,44376,45425,10117,34171,50096
28130,24,186.0,85.0,24.6,19508,43117,62244,21668,37651
28131,40,173.0,72.0,24.1,101760,14697,5189,15509,47044
28133,31,180.0,84.0,25.9,45485,49420,42767,26490,20040
28134,38,175.0,93.0,30.4,51743,24900,13028,41325,53209
28135,41,174.0,79.0,26.1,30006,44575,51681,27162,30789
28136,35,175.0,78.0,25.5,39132,53502,40109,38222,13251
28136,32,180.0,86.0,26.5,39132,39352,36620,49570,19542
28138,27,178.0,84.0,26.5,27384,15723,54540,28433,58141
28138,32,179.0,90.0,28.1,34698,47181,23033,39888,39421
28140,32,175.0,75.0,24.5,29001,76280,36669,23174,19103
28141,23,171.0,73.0,25.0,56339,31645,27779,21422,47044
28142,19,183.0,81.0,24.2,26601,38584,46332,44866,27859
28143,33,178.0,84.0,26.5,15232,541,158693,5621,4156
28144,25,180.0,84.0,25.9,30006,23174,35903,64932,30233
28145,52,180.0,86.0,26.5,48983,22467,59864,29522,23424
28146,30,185.0,82.0,24.0,3860,14970,19346,8714,137383
28147,27,178.0,84.0,26.5,10735,15870,78285,58161,21228
28148,29,178.0,84.0,26.5,39132,35574,24992,45169,39421
28149,26,175.0,84.0,27.4,9188,164659,3994,4778,1680
28150,35,178.0,84.0,26.5,4903,53533,48772,48821,28272
28151,28,170.0,68.0,23.5,43323,19087,22713,81081,18098
28152,29,180.0,84.0,25.9,39132,29924,45629,41346,28272
28153,31,178.0,84.0,26.5,42298,30152,57109,33445,21306
28154,43,177.0,82.0,26.2,41254,30753,25604,49793,36907
28155,36,175.0,82.0,26.8,47717,30937,42739,45067,17856
28156,30,170.0,82.0,28.4,26601,2193,6049,12096,137383
28157,37,176.0,82.0,26.5,70344,31645,28876,27974,25495
28158,38,175.0,82.0,26.8,60845,24636,21564,32985,44305
28159,40,180.0,84.0,25.9,30006,43767,48733,28809,33022
28160,30,178.0,84.0,26.5,58854,51946,19024,21494,33022
28161,25,178.0,84.0,26.5,41254,48947,42946,26730,24468
28162,49,178.0,84.0,26.5,34003,31645,72855,27181,18664
28164,33,180.0,81.0,25.0,13218,44971,75032,17463,33677
28164,35,178.0,84.0,26.5,15232,65337,24909,40361,38522
28166,30,180.0,96.0,29.6,15232,15870,88613,42338,22309
28167,41,180.0,83.0,25.6,34003,27555,44551,52760,25495
28168,29,178.0,88.0,27.8,26601,24840,62720,42348,27859
28169,26,178.0,82.0,25.9,13218,9548,6487,17734,137383
28170,31,183.0,100.0,29.9,24248,42359,59298,40800,17684
28172,41,168.0,73.0,25.9,75522,54093,8132,20368,26282
28173,28,173.0,69.0,23.1,75522,37379,12888,29027,29591
28174,35,175.0,74.0,24.2,65491,37435,32432,23558,25495
28174,41,178.0,81.0,25.6,41254,41666,44771,25307,31413
28176,22,178.0,84.0,26.5,60845,38703,44332,20995,19542
28177,38,178.0,89.0,28.1,77144,22515,25855,38420,20494
28178,35,182.0,86.0,26.0,64185,32476,32265,32671,22835
28179,24,170.0,84.0,29.1,51743,24370,30134,42898,35296
28180,34,178.0,88.0,27.8,4678,17184,65270,74286,23028
28182,25,175.0,82.0,26.8,38189,37704,42561,32345,33677
28184,28,186.0,84.0,24.3,23544,27063,18724,88168,26987
28185,37,178.0,88.0,27.8,61906,33493,45103,27221,16779
28186,29,178.0,84.0,26.5,56339,54524,15823,27974,29847
28187,29,180.0,100.0,30.9,62995,32330,26292,43264,19627
28188,24,188.0,88.0,24.9,22820,10081,44182,43827,63615
28190,34,180.0,74.0,22.8,61906,34351,21105,28659,38522
28191,25,181.0,82.0,25.0,7652,27623,28040,71963,49276
28191,29,168.0,77.0,27.3,82228,34937,10801,25799,30789
28193,41,180.0,84.0,25.9,69077,22680,46865,21836,24103
28194,21,175.0,73.0,23.8,13831,164659,797,1482,3797
28195,37,185.0,91.0,26.6,39132,26441,46825,34529,37651
28196,33,183.0,87.0,26.0,58854,15839,51897,34227,23766
28197,39,178.0,84.0,26.5,18387,38490,44295,55148,28272
28198,45,174.0,80.0,26.4,64185,31733,16587,22813,49276
28198,31,183.0,85.0,25.4,36340,29139,25227,22592,71296
28200,26,183.0,83.0,24.8,13218,40722,71698,29110,29847
28201,24,178.0,78.0,24.6,58854,21998,16613,26550,60591
28202,45,178.0,86.0,27.1,67855,24679,17853,34802,39421
28203,41,176.0,80.0,25.8,72885,26954,30281,28659,25832
28204,17,178.0,79.0,24.9,60845,22258,31035,41652,28827
28205,51,180.0,86.0,26.5,20685,57369,32366,52084,22117
28205,23,178.0,70.0,22.1,51743,44795,36559,26304,25220
28207,26,178.0,68.0,21.5,70344,30603,15758,29395,38522
28208,34,178.0,84.0,26.5,75522,20366,34602,22725,31413
28209,36,178.0,95.0,30.0,46622,23439,47727,34881,31960
28210,30,188.0,98.0,27.7,35431,37704,46988,33727,30789
28212,30,178.0,75.0,23.7,37269,45388,42470,38216,21306
28213,29,170.0,75.0,26.0,27384,45927,27414,39626,44305
28214,28,170.0,75.0,26.0,51743,36217,23285,47134,26282
28215,38,174.0,73.0,24.1,50223,42068,42631,23463,26282
28216,40,175.0,75.0,24.5,37269,41524,55156,25882,24843
28217,30,178.0,84.0,26.5,24248,12258,88915,40401,18860
28218,28,168.0,68.0,24.1,62995,37323,16658,36918,30789
28218,32,173.0,86.0,28.7,39132,55422,30772,32765,26592
28220,35,175.0,80.0,26.1,75522,41334,36690,13531,17617
28221,34,175.0,68.0,22.2,59872,41666,27262,34947,20948
28222,26,183.0,93.0,27.8,51743,40148,14339,36147,42321
28223,43,178.0,83.0,26.2,47717,19013,42280,40033,35663
28223,39,178.0,79.0,24.9,30006,66007,29182,35745,23766
28226,30,185.0,84.0,24.5,18387,50529,30049,42328,43416
28227,29,180.0,91.0,28.1,44376,11078,51585,30648,47044
28229,37,180.0,84.0,25.9,94971,20488,16587,22850,29847
28230,36,170.0,76.0,26.3,17433,12971,6192,10766,137383
28231,37,183.0,84.0,25.1,29001,36363,58028,35714,25647
28232,40,180.0,77.0,23.8,56339,47399,8367,35745,36907
28232,40,173.0,68.0,22.7,51743,49092,54110,18753,11059
28234,34,168.0,75.0,26.6,72885,24551,20294,36245,30789
28235,31,178.0,82.0,25.9,65491,36735,13646,30372,38522
28236,32,182.0,89.0,26.9,56339,36735,20165,44542,26987
28237,33,178.0,83.0,26.2,51743,29268,46070,31669,26038
28238,31,175.0,98.0,32.0,61906,22507,38669,31861,29847
28239,32,180.0,81.0,25.0,57100,37323,19889,25146,45333
28240,24,178.0,84.0,26.5,15232,39031,30229,78808,21493
28241,34,183.0,95.0,28.4,8179,3860,23640,11736,137383
28242,38,170.0,75.0,26.0,69077,36946,9433,39114,30233
28243,19,170.0,75.0,26.0,58854,57122,15743,17428,35663
28244,27,183.0,100.0,29.9,17433,40195,37901,51634,37651
28246,33,170.0,67.0,23.2,65491,56964,10020,26066,26282
28247,23,178.0,83.0,26.2,15232,35971,60340,32943,40358
28248,32,168.0,78.0,27.6,57967,29688,20294,41238,35663
28249,29,173.0,75.0,25.1,20070,5127,41657,4611,113391
28250,25,178.0,84.0,26.5,48983,20712,56700,38921,19542
28251,32,178.0,91.0,28.7,43323,36677,24703,46482,33677
28252,32,181.0,84.0,25.6,33428,29476,33229,51823,36907
28253,36,178.0,84.0,26.5,1939,4903,10847,29796,137383
28254,36,178.0,84.0,26.5,8517,42316,15138,88109,30789
28255,38,190.0,88.0,24.4,23544,25966,68023,33665,33677
28256,25,175.0,77.0,25.1,59872,39468,16217,33665,35663
28257,46,176.0,89.0,28.7,47717,43979,32974,27197,33022
28258,41,175.0,82.0,26.8,65491,35675,20137,28293,35296
28259,23,170.0,70.0,24.2,88957,52459,18735,12033,12718
28260,28,178.0,84.0,26.5,15232,52637,65229,21577,30233
28261,25,190.0,95.0,26.3,34698,22769,44129,22725,60591
28262,27,178.0,84.0,26.5,39132,43266,39990,25626,36907
28263,26,178.0,88.0,27.8,51743,29114,24064,49216,30789
28264,27,185.0,83.0,24.3,37269,38231,25813,28293,55322
28265,21,170.0,73.0,25.3,178392,1908,241,752,3639
28266,26,188.0,94.0,26.6,34698,21182,26923,65223,36907
28267,40,171.0,68.0,23.3,72885,28310,10634,41692,31413
28267,20,178.0,84.0,26.5,36340,17850,54702,43499,32543
28269,31,178.0,84.0,26.5,18387,34516,24774,33792,73473
28270,39,175.0,75.0,24.5,51743,49281,36295,17394,30233
28272,22,176.0,84.0,27.1,66670,33598,20069,17568,47044
28273,44,178.0,75.0,23.7,72885,25259,16920,48497,21394
28274,37,186.0,83.0,24.0,30006,31462,54401,32876,36211
28275,43,185.0,95.0,27.8,30006,29371,52614,45574,27392
28276,38,178.0,84.0,26.5,35431,41524,23019,58704,26282
28277,29,180.0,78.0,24.1,6260,6827,28089,6402,137383
28278,25,187.0,99.0,28.3,5102,12262,88068,42626,36907
28279,31,178.0,84.0,26.5,77144,37765,6969,24566,38522
28280,29,174.0,70.0,23.1,5891,12661,14492,14543,137383
28281,30,178.0,70.0,22.1,77144,33609,24702,27300,22218
28282,30,178.0,98.0,30.9,4465,47181,56556,43099,33677
28282,35,180.0,83.0,25.6,25056,23518,63058,44519,28827
28284,32,188.0,96.0,27.2,6260,4401,28095,8843,137383
28285,31,184.0,80.0,23.6,29001,54963,33942,34059,33022
28287,43,183.0,84.0,25.1,35431,24370,17515,62352,45333
28287,32,180.0,91.0,28.1,71633,26641,18479,27890,40358
28289,37,173.0,82.0,27.4,30006,29883,56090,24718,44305
28290,24,170.0,86.0,29.8,178392,1538,472,2706,1898
28291,39,183.0,82.0,24.5,14443,32224,53906,45914,38522
28292,27,178.0,84.0,26.5,60845,58450,18039,23391,24285
28293,35,181.0,75.0,22.9,38189,33948,51641,29273,31960
28294,32,178.0,84.0,26.5,58854,44278,14771,27688,39421
28295,27,178.0,70.0,22.1,40098,44743,14356,61447,24370
28296,26,170.0,67.0,23.2,105968,27530,11219,15199,25100
28297,43,180.0,90.0,27.8,40098,24723,41312,18320,60591
28298,31,189.0,99.0,27.7,28158,39942,45178,50462,21306
28299,32,168.0,78.0,27.6,51743,22298,56178,30633,24196
28300,24,178.0,84.0,26.5,39132,37112,33399,29223,46190
28301,24,184.0,81.0,23.9,13218,47990,53840,27688,42321
28302,29,185.0,101.0,29.5,19508,59987,30709,46588,28272
28303,31,175.0,89.0,29.1,77144,21866,43468,17367,25220
28304,32,173.0,79.0,26.4,50223,24281,40993,41304,28272
28305,24,178.0,84.0,26.5,13831,42395,78724,32579,17546
28306,28,178.0,84.0,26.5,66670,43680,35910,19531,19291
28307,25,185.0,103.0,30.1,36340,33079,29381,50078,36211
28308,29,176.0,79.0,25.5,51743,29071,46566,22047,35663
28309,33,175.0,84.0,27.4,41254,15385,46512,41587,40358
28310,41,170.0,74.0,25.6,56339,34671,22671,45539,25879
28312,36,180.0,88.0,27.2,47717,42395,27692,35343,31960
28313,24,182.0,78.0,23.5,28158,41032,42237,41138,32543
28314,32,178.0,73.0,23.0,48983,42803,21105,33697,38522
28315,39,183.0,78.0,23.3,66670,42707,13956,19457,42321
28316,37,188.0,102.0,28.9,6260,51803,35889,54967,36211
28317,31,162.0,91.0,34.7,51743,36115,40431,35354,21493
28318,28,173.0,79.0,26.4,38189,37226,49511,17890,42321
28319,39,175.0,96.0,31.3,28158,22474,63242,31843,39421
28320,26,170.0,84.0,29.1,45485,32394,24829,55039,27392
28321,28,187.0,79.0,22.6,44376,28284,26786,35621,50096
28322,23,178.0,91.0,28.7,50223,22930,36045,37444,38522
28323,40,175.0,77.0,25.1,51743,33487,46087,24018,29847
28324,41,188.0,88.0,24.9,30006,59658,31678,38464,25378
28325,41,170.0,75.0,26.0,60845,53088,8723,32698,29847
28326,40,178.0,77.0,24.3,60845,30430,50968,22850,20114
28327,34,180.0,78.0,24.1,25821,73872,7109,65507,12899
28328,31,173.0,75.0,25.1,70344,18027,40028,35509,21306
28329,32,170.0,68.0,23.5,77144,32224,4596,22544,48708
28330,30,178.0,84.0,26.5,11645,35640,47379,61733,28827
28331,22,178.0,84.0,26.5,84924,33213,13310,15256,38522
28332,35,173.0,78.0,26.1,45485,48832,27091,37943,25879
28333,39,183.0,84.0,25.1,30006,30652,57006,23266,44305
28334,40,168.0,75.0,26.6,57100,34366,38964,31575,23231
28335,34,176.0,80.0,25.8,24248,25454,68830,35305,31413
28336,28,183.0,86.0,25.7,34698,37219,59170,30621,23557
28337,31,178.0,84.0,26.5,57100,30961,54987,13405,28827
28338,31,176.0,75.0,24.2,43323,52671,12033,50667,26592
28339,51,165.0,82.0,30.1,51743,20206,44908,42556,25879
28340,38,183.0,91.0,27.2,19508,15334,78303,35940,36211
28341,23,178.0,84.0,26.5,23544,48362,62443,23558,27392
28342,34,178.0,84.0,26.5,21334,40290,60043,43056,20583
28343,29,168.0,73.0,25.9,86223,24155,20434,29395,25100
28344,33,178.0,84.0,26.5,67855,40290,24375,32298,20494
28345,34,178.0,93.0,29.4,15232,36705,42631,71990,18758
28345,31,175.0,79.0,25.8,40098,31842,49874,29825,33677
28347,22,178.0,84.0,26.5,3860,47947,20705,99072,13733
28348,31,180.0,88.0,27.2,5609,13540,15074,13712,137383
28349,45,178.0,98.0,30.9,30006,24948,57052,43081,30233
28350,24,180.0,78.0,24.1,56339,24065,26005,19901,59019
28351,36,175.0,90.0,29.4,69077,40160,18172,27688,30233
28352,35,175.0,84.0,27.4,4068,7846,19735,16303,137383
28353,32,177.0,75.0,23.9,65491,38628,42362,15306,23557
28353,35,185.0,86.0,25.1,25821,41624,45240,51512,21147
28355,29,178.0,84.0,26.5,51743,42263,47453,16902,26987
28356,28,178.0,82.0,25.9,59872,23605,13996,31537,56345
28356,34,178.0,84.0,26.5,75522,33448,32744,20806,22835
28358,29,183.0,84.0,25.1,14443,34758,37359,55385,43416
28359,30,178.0,84.0,26.5,30006,28088,36021,68423,22835
28360,39,178.0,73.0,23.0,51743,44501,53160,12548,23424
28361,24,178.0,84.0,26.5,22820,65337,35556,45609,16056
28362,29,185.0,88.0,25.7,22015,23431,72020,37131,30789
28363,35,188.0,80.0,22.6,35431,28553,55828,37722,27859
28364,37,184.0,90.0,26.6,15232,22914,88750,34733,23766
28365,30,183.0,86.0,25.7,48983,34978,28925,23242,49276
28366,29,183.0,84.0,25.1,44376,76214,20852,27125,16839
28367,41,178.0,77.0,24.3,44376,38584,45405,19402,37651
28368,29,178.0,82.0,25.9,13831,38261,63273,36379,33677
28369,28,173.0,73.0,24.4,66670,15679,27091,22778,53209
28369,17,175.0,74.0,24.2,88957,24636,17889,29842,24103
28371,46,178.0,78.0,24.6,43323,40789,36305,32469,32543
28372,32,178.0,89.0,28.1,19508,32476,68888,30884,33677
28373,27,178.0,84.0,26.5,13218,29495,65249,52760,24718
28374,27,183.0,93.0,27.8,30006,30152,34054,51808,39421
28375,44,175.0,87.0,28.4,36340,42757,71488,11848,23028
28377,32,178.0,84.0,26.5,5363,25773,51494,78737,24103
28378,24,167.0,70.0,25.1,178392,2780,2560,950,794
28378,26,178.0,85.0,26.8,18387,63589,37734,40923,24843
28380,43,180.0,90.0,27.8,36340,35788,46719,32955,33677
28381,28,186.0,100.0,28.9,6260,51258,59167,48935,19863
28382,32,180.0,83.0,25.6,65491,46515,37762,15464,20254
28384,28,173.0,82.0,27.4,50223,48504,19177,31378,36211
28385,38,181.0,103.0,31.4,36340,46926,32063,27846,42321
28386,40,173.0,77.0,25.7,60845,22424,44129,21192,36907
28387,42,178.0,79.0,24.9,60845,40864,24285,33225,26282
28387,32,183.0,76.0,22.7,30006,40290,46299,29485,39421
28389,38,175.0,90.0,29.4,22820,13482,46468,85749,16999
28390,20,173.0,82.0,27.4,43323,23655,58982,12517,47044
28391,27,177.0,87.0,27.8,6260,20526,9820,11535,137383
28393,38,180.0,82.0,25.3,17433,37581,46953,40142,43416
28394,32,174.0,76.0,25.1,60845,42843,11275,36899,33677
28395,38,168.0,69.0,24.4,60845,33819,36958,24074,29847
28396,47,188.0,86.0,24.3,45485,17370,87988,16785,17929
28397,21,178.0,84.0,26.5,26601,20927,28142,70470,39421
28398,35,170.0,76.0,26.3,66670,21603,12908,34295,50096
28399,49,178.0,84.0,26.5,18902,44357,34153,43863,44305
28400,25,178.0,84.0,26.5,51743,43180,38449,23391,28827
28401,35,178.0,84.0,26.5,19508,34937,78995,36883,15272
28402,50,178.0,90.0,28.4,57967,30049,19011,39148,39421
28403,38,178.0,86.0,27.1,22820,49814,27556,32200,53209
28404,25,178.0,84.0,26.5,56339,34325,45371,17613,31960
28405,33,182.0,84.0,25.4,7433,23814,10857,6127,137383
28406,36,178.0,84.0,26.5,20685,20712,74843,36832,32543
28407,36,178.0,84.0,26.5,35431,29071,75106,30806,15203
28408,16,188.0,77.0,21.8,25056,45315,54561,19429,41267
28409,36,188.0,88.0,24.9,47717,24017,47347,28899,37651
28410,33,183.0,86.0,25.7,19508,23995,78214,31962,31960
28411,32,182.0,94.0,28.4,2225,164659,3010,11459,4287
28411,37,191.0,95.0,26.0,12686,45858,41964,40827,44305
28413,38,183.0,75.0,22.4,34003,44575,40158,43028,23878
28414,43,178.0,88.0,27.8,24248,34937,59424,34498,32543
28415,47,183.0,88.0,26.3,30006,59987,12969,31706,50989
28416,25,178.0,84.0,26.5,15232,6893,13324,12826,137383
28417,41,180.0,80.0,24.7,34698,38628,59720,34022,18593
28417,30,175.0,77.0,25.1,70344,22572,37771,33580,21394
28419,45,180.0,84.0,25.9,15232,25556,62569,39988,42321
28420,28,183.0,89.0,26.6,45485,34111,17413,34393,54270
28421,34,175.0,82.0,26.8,59872,40506,21415,36899,26987
28421,36,178.0,84.0,26.5,43323,24953,37246,53875,26282
28423,27,178.0,84.0,26.5,34003,83588,32696,16481,18924
28424,26,178.0,99.0,31.2,7913,55822,39438,43099,39421
28424,28,178.0,84.0,26.5,51743,29603,46811,24993,32543
28426,36,178.0,84.0,26.5,20070,51974,31504,48472,33677
28427,21,183.0,81.0,24.2,3020,39685,46786,54942,41267
28428,22,191.0,90.0,24.7,11188,29627,67997,46102,30789
28430,25,175.0,80.0,26.1,65491,27485,18120,21402,53209
28432,30,178.0,84.0,26.5,50223,56772,28577,19351,30789
28433,24,183.0,86.0,25.7,5891,11259,13199,17981,137383
28433,40,183.0,86.0,25.7,20070,42228,21468,68270,33677
28435,36,185.0,88.0,25.7,39132,27063,37564,26636,55322
28436,40,173.0,73.0,24.4,60845,24370,29984,19531,50989
28437,24,178.0,84.0,26.5,15232,50239,38194,58724,23338
28438,19,180.0,80.0,24.7,26601,40203,55578,22079,41267
28439,26,190.0,84.0,23.3,21334,28633,35387,58055,42321
28440,28,180.0,77.0,23.8,22015,34162,44760,39475,45333
28441,39,170.0,86.0,29.8,48983,38851,36609,38275,23028
28442,25,178.0,84.0,26.5,22820,43117,28504,42927,48386
28443,33,179.0,75.0,23.4,40098,38316,43156,28523,35663
28444,35,178.0,86.0,27.1,15232,6968,9793,16381,137383
28445,36,178.0,84.0,26.5,24248,56456,23157,49355,32543
28447,43,178.0,90.0,28.4,25056,32759,21388,69661,36907
28447,38,180.0,88.0,27.2,45485,26283,31113,45983,36907
28447,35,183.0,98.0,29.3,30006,64220,34235,28483,28827
28450,28,174.0,84.0,27.7,51743,72169,10004,28433,23424
28450,33,175.0,79.0,25.8,34698,20395,50570,62181,17929
28452,30,178.0,84.0,26.5,42298,17632,54316,54754,16779
28453,30,182.0,82.0,24.8,1125,20581,46786,85885,31413
28454,32,190.0,84.0,23.3,19508,16568,82354,37516,29847
28455,34,185.0,83.0,24.3,18387,44388,42788,46556,33677
28456,22,178.0,84.0,26.5,35431,27164,25227,76206,21769
28456,24,178.0,78.0,24.6,65491,28341,30743,28200,33022
28458,35,169.0,82.0,28.7,91825,25116,27928,24159,16779
28459,36,165.0,73.0,26.8,99089,26374,27556,10274,22525
28461,32,178.0,82.0,25.9,27384,5476,8029,7548,137383
28462,40,180.0,87.0,26.9,9881,40757,78381,39892,16918
28463,43,178.0,84.0,26.5,34698,31950,41804,48554,28827
28464,26,184.0,92.0,27.2,5891,24339,78532,48253,28827
28465,32,180.0,85.0,26.2,39132,28310,49955,36490,31960
28466,37,178.0,84.0,26.5,37269,25567,26685,28200,68128
28467,42,183.0,87.0,26.0,48983,43310,25555,39181,28827
28468,40,173.0,82.0,27.4,66670,23223,40557,34555,20864
28470,30,180.0,80.0,24.7,47717,56105,16340,32045,33677
28471,30,177.0,80.0,25.5,11645,15224,10915,10740,137383
28471,39,185.0,88.0,25.7,45485,31183,49124,33523,26592
28473,36,176.0,68.0,22.0,28158,49650,44900,32972,30233
28474,29,168.0,68.0,24.1,87525,33833,24122,11607,28827
28475,37,178.0,85.0,26.8,61906,29576,22501,38255,33677
28476,31,181.0,81.0,24.7,51743,47985,27193,29152,29847
28477,36,188.0,82.0,23.2,50223,30811,42767,21766,40358
28478,50,173.0,78.0,26.1,60845,39270,16439,36832,32543
28479,38,185.0,83.0,24.3,22820,54296,29907,36590,42321
28480,19,180.0,85.0,26.2,13218,14349,2720,18266,137383
28482,27,178.0,88.0,27.8,17433,10941,10897,9292,137383
28483,27,172.0,75.0,25.4,67855,34162,57186,13746,13003
28483,28,178.0,84.0,26.5,29001,20270,78778,31311,26592
28485,28,178.0,84.0,26.5,28158,41284,64982,27974,23557
28486,25,170.0,86.0,29.8,36340,31842,36536,28947,52306
28487,28,178.0,84.0,26.5,69077,40290,18241,25344,33022
28487,50,178.0,88.0,27.8,37269,36286,40913,37829,33677
28489,16,173.0,72.0,24.1,60845,42501,24336,26333,31960
28489,46,183.0,78.0,23.3,50223,27664,32130,48566,27392
28491,27,180.0,91.0,28.1,5363,26980,71754,55297,26592
28492,17,176.0,77.0,24.9,57100,34416,22671,34902,36907
28493,21,178.0,84.0,26.5,15232,11392,17120,4875,137383
28494,38,178.0,84.0,26.5,57967,34021,18177,52173,23665
28496,22,178.0,84.0,26.5,13831,2943,158693,5162,5379
28496,26,163.0,73.0,27.5,42298,41032,18132,39213,45333
28496,46,175.0,88.0,28.7,75522,31950,19983,28706,29847
28496,31,181.0,94.0,28.7,56339,29688,26267,30298,43416
28500,31,179.0,77.0,24.0,22820,31582,57891,38054,35663
28501,26,178.0,84.0,26.5,51743,42630,23269,34693,33677
28502,41,175.0,84.0,27.4,75522,19464,28382,38987,23665
28503,20,178.0,84.0,26.5,35431,42395,51888,27480,28827
28504,21,170.0,71.0,24.6,74157,25744,29337,11459,45333
28505,29,170.0,67.0,23.2,51743,25526,21185,8661,78918
28506,35,170.0,84.0,29.1,36340,47791,31327,35290,35296
28507,35,178.0,75.0,23.7,59872,20815,51611,26367,27392
28508,44,178.0,88.0,27.8,48983,39965,31113,32322,33677
28509,25,178.0,84.0,26.5,23544,37476,68743,15038,41267
28510,29,188.0,91.0,25.7,77144,28460,35454,22490,22525
28511,48,183.0,79.0,23.6,27384,42359,44641,34055,37651
28512,25,175.0,86.0,28.1,57100,30444,15779,24629,58141
28513,44,185.0,88.0,25.7,12686,28766,61975,52443,30233
28514,29,174.0,74.0,24.4,50223,40971,54521,8976,31413
28514,31,180.0,79.0,24.4,75522,32128,32540,21718,24196
28516,29,175.0,86.0,28.1,66670,35753,15893,30146,37651
28519,20,178.0,82.0,25.9,23544,27623,59164,42788,33022
28521,32,178.0,84.0,26.5,51743,30147,45277,32397,26592
28522,34,170.0,77.0,26.6,22015,24394,30394,33750,75632
28523,35,168.0,78.0,27.6,57100,33213,41502,29152,25220
28524,41,185.0,90.0,26.3,18387,47181,68567,36392,15680
28525,31,186.0,97.0,28.0,33428,43746,39552,33823,35663
28526,27,186.0,97.0,28.0,19508,23301,37324,45489,60591
28527,37,178.0,85.0,26.8,50223,26224,51636,31852,26282
28528,37,175.0,76.0,24.8,40098,32548,47164,28758,37651
28529,26,178.0,84.0,26.5,11645,29812,68009,54900,21855
28530,23,190.0,100.0,27.7,4068,8570,21931,14271,137383
