rank,age,height_cm,weight_kg,bmi,total_points,191_rank,192_rank,193_rank,194_rank,195_rank,Australia,Brazil,Canada,Denmark,Iceland,Russian Federation,Switzerland,United Kingdom,United States
10059,44,180.0,87.0,26.9,77031,23544,11392,15313,15435,11347,0,1,0,0,0,0,0,0,0
10060,44,188.0,93.0,26.3,77032,9881,15438,15239,12708,23766,0,0,0,0,0,0,0,0,1
10061,34,187.0,84.0,24.0,77034,5609,17370,10223,18185,25647,0,0,0,0,0,0,1,0,0
10062,28,173.0,86.0,28.7,77039,11645,12828,31382,15371,5813,0,0,0,0,0,0,0,0,1
10063,51,183.0,88.0,26.3,77047,15232,5959,11270,25993,18593,0,0,0,0,0,0,0,0,1
10064,30,170.0,74.0,25.6,77050,30006,19938,7541,6789,12776,0,0,0,0,0,0,0,0,1
10065,29,180.0,88.0,27.2,77051,5891,29495,13207,18558,9900,0,1,0,0,0,0,0,0,0
10066,26,191.0,99.0,27.1,77052,4903,25791,5915,12584,27859,0,1,0,0,0,0,0,0,0
10067,29,152.0,88.0,38.1,77069,15232,10802,18389,9811,22835,0,0,0,0,0,0,0,0,1
10068,24,169.0,85.0,29.8,77076,4068,4294,19358,26952,22404,0,0,0,0,0,0,0,0,0
10069,29,175.0,78.0,25.5,77107,23544,13065,10603,13176,16719,0,0,0,0,0,0,0,0,1
10070,27,178.0,76.0,24.0,77112,10735,12496,35479,7627,10775,0,0,0,0,0,0,0,0,1
10071,41,183.0,86.0,25.7,77113,15232,11703,17435,10434,22309,0,0,0,0,0,0,0,0,1
10072,36,192.0,98.0,26.6,77114,4263,13226,33538,9594,16493,0,0,0,0,0,1,0,0,0
10073,30,175.0,80.0,26.1,77115,42298,7725,11962,7092,8038,0,0,0,0,0,0,0,0,0
10074,23,180.0,82.0,25.3,77119,37269,8683,11396,13831,5940,0,0,0,0,0,0,0,0,1
10075,29,183.0,82.0,24.5,77143,15232,10960,36305,7648,6998,0,0,0,0,0,0,0,0,1
10076,31,176.0,89.0,28.7,77147,14443,17077,11019,11673,22935,0,0,0,0,0,0,0,0,0
10077,31,175.0,87.0,28.4,77161,17433,8850,30657,13405,6816,0,0,0,0,0,0,0,0,0
10078,27,175.0,76.0,24.8,77163,8179,19429,20644,14423,14488,1,0,0,0,0,0,0,0,0
10079,33,175.0,88.0,28.7,77166,18902,9631,20088,16690,11855,0,0,0,0,0,0,0,0,1
10080,39,170.0,73.0,25.3,77171,35431,19354,7974,4875,9537,0,0,0,0,0,0,0,0,0
10081,30,178.0,84.0,26.5,77179,19508,27525,4322,12503,13321,0,0,0,0,0,0,0,0,0
10082,35,165.0,82.0,30.1,77188,65491,2303,3221,4432,1741,0,0,0,0,0,0,0,0,1
10083,32,193.0,93.0,25.0,77192,8517,18324,8289,20207,21855,0,0,0,0,0,0,0,0,1
10084,24,178.0,86.0,27.1,77198,9188,10892,46375,7450,3293,0,0,0,0,0,0,0,0,1
10085,35,180.0,88.0,27.2,77201,29001,13365,12779,8735,13321,0,0,0,0,0,0,0,0,1
10086,35,183.0,84.0,25.1,77207,12686,16422,21997,15146,10956,0,0,0,0,0,0,0,0,1
10087,24,174.0,70.0,23.1,77211,25056,16367,6779,9146,19863,0,0,0,0,0,0,0,0,0
10088,33,183.0,92.0,27.5,77222,6260,13177,26444,11301,20040,0,0,0,0,0,0,0,0,1
10089,29,190.0,94.0,26.0,77257,2225,9207,31554,19984,14287,0,0,0,0,0,0,0,0,0
10090,52,183.0,86.0,25.7,77274,11645,21148,11811,19076,13594,0,0,0,0,0,0,0,0,1
10091,46,178.0,88.0,27.8,77276,18387,11147,23754,7149,16839,0,0,0,0,0,0,0,0,1
10092,48,180.0,93.0,28.7,77277,12109,7707,20005,20893,16563,0,0,0,0,0,0,0,0,1
10093,31,178.0,88.0,27.8,77283,14443,11839,18714,16840,15447,0,0,0,0,0,0,0,0,0
10094,35,170.0,72.0,24.9,77292,30006,18802,7339,11693,9452,0,0,0,0,0,0,0,0,0
10094,36,175.0,82.0,26.8,77292,30006,14529,15401,8068,9288,0,0,1,0,0,0,0,0,0
10096,21,178.0,84.0,26.5,77323,11645,16487,21174,5492,22525,0,0,0,0,0,0,0,0,0
10097,26,175.0,76.0,24.8,77328,14443,8454,29822,13312,11297,0,0,0,0,0,0,1,0,0
10098,30,180.0,80.0,24.7,77338,12109,13540,17319,11139,23231,0,0,0,0,0,0,0,0,0
10099,37,183.0,94.0,28.1,77348,3020,9722,26629,19789,18188,0,0,0,0,0,0,0,0,1
10100,39,181.0,84.0,25.6,77368,18387,6938,31889,11120,9034,0,0,0,0,0,0,0,1,0
10101,41,175.0,84.0,27.4,77378,20070,19517,9390,15331,13070,0,0,0,0,0,0,0,0,1
10102,43,191.0,98.0,26.9,77379,8828,10039,22279,21103,15130,0,0,0,0,0,0,0,1,0
10103,32,191.0,102.0,28.0,77393,7652,8333,20585,24411,16412,0,0,0,0,0,0,0,0,0
10104,29,170.0,83.0,28.7,77398,40098,7039,7133,14094,9034,0,0,0,0,0,1,0,0,0
10104,25,176.0,80.0,25.8,77398,13218,14134,10820,30236,8990,0,0,0,0,0,0,0,0,0
10106,24,178.0,84.0,26.5,77401,5891,6781,23448,24282,16999,0,0,0,0,0,0,0,0,0
10107,34,173.0,73.0,24.4,77403,46622,9533,12111,1573,7564,0,0,0,0,0,0,0,0,0
10108,24,178.0,84.0,26.5,77405,13218,15747,20659,18244,9537,0,0,0,0,0,0,0,0,0
10109,24,164.0,67.0,24.9,77421,60845,9030,3845,904,2797,0,0,0,0,0,0,0,0,0
10109,19,178.0,82.0,25.9,77421,30006,10845,5241,9398,21931,0,0,0,0,0,0,0,0,1
10111,27,176.0,80.0,25.8,77424,14443,11759,17349,20622,13251,0,0,0,0,0,0,0,0,0
10112,25,173.0,78.0,26.1,77436,51743,6034,5126,8015,6518,0,0,0,0,0,1,0,0,0
10113,33,175.0,75.0,24.5,77446,22820,26017,8603,11872,8134,0,0,0,0,0,0,0,0,1
10114,50,178.0,77.0,24.3,77478,8179,19390,21004,17136,11769,0,0,0,0,0,0,0,0,1
10115,30,175.0,76.0,24.8,77480,18387,5687,40109,6650,6647,0,0,0,0,0,0,0,0,1
10116,29,175.0,79.0,25.8,77497,19508,10780,33683,7538,5988,0,0,0,0,0,0,0,0,1
10117,35,178.0,82.0,25.9,77498,14443,20206,5423,26367,11059,0,0,0,0,0,0,0,0,1
10118,44,178.0,83.0,26.2,77499,20685,6694,27008,13116,9996,1,0,0,0,0,0,0,0,0
10119,25,178.0,84.0,26.5,77514,6260,26851,18389,20995,5019,0,0,0,0,0,0,0,1,0
10120,27,183.0,80.0,23.9,77529,15232,17550,17515,14634,12598,0,0,0,0,0,0,0,0,0
10121,31,178.0,84.0,26.5,77531,4465,6171,44832,12565,9498,0,0,1,0,0,0,0,0,0
10122,27,182.0,90.0,27.2,77535,4068,26992,17349,15086,14040,0,0,0,0,0,0,0,1,0
10123,19,185.0,80.0,23.4,77537,24248,14747,13418,14925,10199,0,0,0,0,0,0,0,0,0
10124,29,189.0,93.0,26.0,77540,2056,7735,37279,19695,10775,0,0,0,1,0,0,0,0,0
10125,32,178.0,84.0,26.5,77541,22820,8587,18656,13312,14166,0,0,0,0,0,0,0,0,1
10126,40,173.0,70.0,23.4,77543,50223,14858,3778,2615,6069,0,0,0,0,0,0,0,0,1
10127,34,173.0,86.0,28.7,77547,25056,11295,4450,19443,17303,0,0,0,0,0,0,0,0,1
10128,20,170.0,73.0,25.3,77552,30006,18993,4699,5756,18098,0,0,0,0,0,0,0,0,1
10129,26,179.0,91.0,28.4,77557,13218,27099,11248,16660,9332,0,0,0,0,0,0,0,0,0
10130,25,175.0,84.0,27.4,77558,29001,5611,26439,5492,11015,0,0,0,0,0,0,0,0,1
10131,34,190.0,91.0,25.2,77560,12109,8149,28438,16902,11962,0,0,0,0,0,0,0,0,1
10132,26,183.0,93.0,27.8,77562,3165,4098,12260,42359,15680,0,0,0,0,0,0,0,0,1
10133,29,183.0,90.0,26.9,77568,45485,7363,9208,8137,7375,0,0,0,0,0,0,0,1,0
10134,26,176.0,81.0,26.1,77572,18902,12615,32332,9865,3858,0,0,0,0,0,0,0,1,0
10135,31,170.0,77.0,26.6,77573,44376,6072,5391,17757,3977,0,0,0,0,0,0,0,0,1
10136,27,173.0,77.0,25.7,77585,47717,5848,5505,3385,15130,1,0,0,0,0,0,0,0,0
10137,17,173.0,82.0,27.4,77586,18387,14205,6797,24341,13856,0,0,0,0,0,0,0,0,0
10138,29,193.0,90.0,24.2,77597,4465,10343,31577,18826,12386,0,0,0,0,0,0,0,0,1
10139,36,180.0,89.0,27.5,77607,17871,14024,11185,20170,14357,0,0,1,0,0,0,0,0,0
10140,28,166.0,63.0,22.9,77612,51743,12457,8808,1605,2999,0,0,0,0,0,0,0,0,0
10140,32,173.0,71.0,23.7,77612,28158,18951,19829,5621,5053,0,1,0,0,0,0,0,0,0
10142,30,178.0,78.0,24.6,77619,1564,24394,12629,20274,18758,0,0,0,0,0,0,0,1,0
10143,34,180.0,92.0,28.4,77631,7652,22985,8280,12676,26038,0,0,0,0,0,0,0,0,0
10144,31,178.0,84.0,26.5,77633,15232,12971,6441,13142,29847,0,1,0,0,0,0,0,0,0
10145,28,185.0,80.0,23.4,77635,18902,28208,5027,13784,11714,0,0,0,0,0,0,0,0,1
10146,40,180.0,95.0,29.3,77640,13831,7618,7500,15014,33677,0,1,0,0,0,0,0,0,0
10147,33,178.0,88.0,27.8,77642,18902,16422,10661,17169,14488,0,0,0,0,0,1,0,0,0
10148,32,165.0,73.0,26.8,77658,47717,10602,10618,3668,5053,0,0,0,0,0,0,0,0,1
10149,28,176.0,79.0,25.5,77659,15232,12958,35994,5621,7854,0,0,0,0,0,0,0,0,0
10150,26,187.0,85.0,24.3,77679,4465,24281,15089,19744,14100,0,0,0,1,0,0,0,0,0
10151,42,180.0,87.0,26.9,77690,12686,13113,17740,17890,16261,0,0,0,0,0,0,0,0,1
10152,31,181.0,77.0,23.5,77692,12686,19273,17642,10941,17150,0,0,0,0,0,0,0,1,0
10153,30,178.0,84.0,26.5,77700,17433,32128,19666,5999,2474,0,0,0,0,0,0,0,0,1
10154,26,178.0,77.0,24.3,77712,13831,26488,8549,20806,8038,0,0,0,0,0,0,0,0,0
10155,30,180.0,73.0,22.5,77715,14443,16316,39347,3260,4349,0,0,1,0,0,0,0,0,0
10155,31,185.0,84.0,24.5,77715,15232,16196,22221,16125,7941,0,0,0,0,0,0,0,0,1
10157,30,180.0,84.0,25.9,77719,27384,9594,12445,17914,10382,0,0,0,0,0,0,0,0,1
10158,27,173.0,72.0,24.1,77721,40098,7930,12668,5492,11533,0,0,0,0,0,0,0,0,0
10159,27,178.0,37.0,11.7,77723,15232,24538,5270,12898,19785,0,0,0,0,0,0,0,1,0
10160,30,175.0,79.0,25.8,77736,30006,9492,12717,14462,11059,0,0,0,0,0,0,0,0,1
10161,22,181.0,80.0,24.4,77740,13218,34758,11726,4968,13070,0,0,0,0,0,0,0,0,0
10161,39,180.0,87.0,26.9,77740,21334,10721,11066,16690,17929,0,0,0,0,0,0,0,0,0
10163,22,182.0,80.0,24.2,77744,8179,20739,13241,15331,20254,0,0,0,0,0,0,0,0,0
10164,17,178.0,70.0,22.1,77746,33428,18611,7687,7355,10665,1,0,0,0,0,0,0,0,0
10165,39,177.0,88.0,28.1,77750,25056,6497,28345,13565,4287,0,0,0,0,0,0,0,0,0
10166,27,178.0,84.0,26.5,77751,11645,16712,16472,9365,23557,0,0,0,0,0,0,0,0,1
10167,36,186.0,94.0,27.2,77766,14443,13744,23436,12955,13188,0,0,0,0,0,1,0,0,0
10168,32,163.0,66.0,24.8,77774,47717,6705,11248,5621,6483,0,0,0,0,0,0,0,0,0
10169,33,168.0,84.0,29.8,77779,39132,8587,4458,14359,11243,0,0,0,0,0,0,0,0,1
10170,37,178.0,83.0,26.2,77781,10347,12589,33700,8827,12318,0,0,0,0,0,0,0,0,1
10171,30,178.0,84.0,26.5,77795,15232,9046,13673,9997,29847,0,0,0,0,0,0,0,1,0
10172,28,175.0,74.0,24.2,77806,26601,14586,8734,19984,7901,0,0,0,0,0,0,0,0,0
10173,39,178.0,82.0,25.9,77808,12109,22097,8549,16625,18428,0,0,0,0,0,0,0,0,0
10174,31,180.0,79.0,24.4,77814,28158,9809,20194,13237,6416,0,0,0,1,0,0,0,0,0
10175,24,188.0,98.0,27.7,77824,6260,19197,39306,4190,8871,0,0,0,0,0,0,0,0,1
10175,24,177.0,95.0,30.3,77824,20685,24551,13747,6402,12439,0,0,0,0,0,0,0,1,0
10177,38,178.0,86.0,27.1,77840,34698,6305,10649,16690,9498,0,0,0,0,0,0,0,0,1
10178,29,183.0,90.0,26.9,77856,27384,23059,3759,7009,16645,0,0,0,0,0,0,0,0,0
10179,26,179.0,94.0,29.3,77860,10735,11796,15006,27197,13126,0,0,0,0,0,0,0,0,0
10180,32,182.0,91.0,27.5,77863,37269,11022,9924,7554,12094,0,1,0,0,0,0,0,0,0
10181,44,13.0,85.0,5029.6,77868,6260,10624,29525,16481,14978,0,0,0,0,0,0,0,0,0
10182,30,178.0,82.0,25.9,77877,17433,19837,14492,9703,16412,0,0,0,0,0,0,0,0,1
10182,26,183.0,84.0,25.1,77877,19508,15122,13445,15014,14788,0,0,0,0,0,0,0,0,1
10184,27,183.0,98.0,29.3,77879,13218,12046,13183,24718,14714,0,0,0,0,0,0,0,0,1
10185,34,175.0,73.0,23.8,77887,47717,10681,1685,4968,12836,0,0,0,0,0,0,0,0,0
10186,33,178.0,82.0,25.9,77899,9188,13177,20620,28098,6816,0,0,1,0,0,0,0,0,0
10187,25,179.0,75.0,23.4,77901,26601,13624,1737,21225,14714,0,0,0,0,0,0,1,0,0
10187,32,180.0,83.0,25.6,77901,8828,10262,16386,28200,14225,0,0,1,0,0,0,0,0,0
10189,27,176.0,80.0,25.8,77909,25821,7027,15442,17810,11809,0,0,0,0,0,0,0,0,0
10190,24,165.0,69.0,25.3,77911,47717,12564,5829,1754,10047,0,0,0,0,0,0,0,0,0
10191,24,178.0,84.0,26.5,77920,33428,2695,28025,10653,3119,0,0,0,0,0,0,0,0,0
10192,24,178.0,84.0,26.5,77922,15232,13047,9912,21225,18506,0,0,0,0,0,0,0,0,1
10192,31,188.0,88.0,24.9,77922,24248,12238,14382,15146,11908,0,0,0,0,0,0,0,0,1
10194,28,178.0,85.0,26.8,77940,6260,14529,28169,7754,21228,0,0,0,0,0,0,0,1,0
10195,28,177.0,79.0,25.2,77946,15232,26750,13511,12191,10262,0,0,0,0,0,0,0,0,0
10196,26,178.0,84.0,26.5,77952,40098,14283,6184,8701,8686,0,0,0,0,0,0,0,0,0
10197,26,196.0,93.0,24.2,77954,6260,8408,39307,14691,9288,0,0,0,0,0,0,0,0,1
10198,30,185.0,94.0,27.5,77961,1939,4090,33564,26906,11462,0,0,0,0,0,0,0,0,1
10199,24,171.0,73.0,25.0,77962,26601,11782,9946,6402,23231,0,0,1,0,0,0,0,0,0
10200,52,180.0,80.0,24.7,77963,6260,15072,31566,12845,12220,0,0,0,0,0,0,0,1,0
10201,33,172.0,77.0,26.0,77966,30006,7812,28227,5374,6547,0,0,0,0,0,0,0,0,0
10202,39,178.0,93.0,29.4,77968,6260,11171,14977,39900,5660,0,0,1,0,0,0,0,0,0
10203,35,178.0,77.0,24.3,77969,25821,8445,9946,23558,10199,0,0,0,0,0,0,0,0,0
10204,26,183.0,88.0,26.3,77985,5102,5393,41591,9769,16130,0,0,0,0,0,0,0,0,1
10205,34,178.0,84.0,26.5,77989,25056,7971,25417,10257,9288,0,0,0,0,0,0,0,0,1
10206,35,169.0,85.0,29.8,77996,26601,13700,7494,12655,17546,0,1,0,0,0,0,0,0,0
10206,43,170.0,86.0,29.8,77996,25821,12649,8087,19849,11590,0,0,0,0,0,0,0,0,1
10208,31,178.0,84.0,26.5,78000,15232,10742,19585,19723,12718,0,0,0,0,0,0,0,0,0
10209,21,185.0,84.0,24.5,78018,12109,21753,19521,15038,9597,0,0,0,0,0,0,0,0,1
10210,26,178.0,103.0,32.5,78028,9188,8708,9709,37524,12899,0,0,0,0,0,0,0,0,1
10211,39,183.0,86.0,25.7,78048,18902,9445,23528,17797,8376,0,0,0,0,0,0,0,0,1
10212,28,178.0,85.0,26.8,78060,39132,7462,7310,12623,11533,0,0,0,0,0,0,0,0,1
10213,24,173.0,82.0,27.4,78073,30006,20270,11213,9547,7037,0,0,0,0,0,0,0,0,1
10214,39,185.0,88.0,25.7,78085,11188,9831,13258,24355,19453,0,0,0,0,0,0,0,0,1
10215,47,170.0,75.0,26.0,78086,30006,25791,11949,3385,6955,0,0,0,0,0,0,0,0,1
10215,32,178.0,84.0,26.5,78086,20070,4082,46387,3933,3614,0,0,0,0,0,0,0,0,1
10217,31,175.0,91.0,29.7,78090,12686,11942,16386,18412,18664,0,0,0,0,0,0,0,0,1
10218,33,176.0,82.0,26.5,78092,10735,19031,12495,16125,19706,0,0,0,0,0,0,0,0,0
10219,29,178.0,74.0,23.4,78094,30006,19914,5070,5879,17225,0,0,0,0,0,0,0,0,0
10220,25,168.0,77.0,27.3,78095,47717,9492,8779,5756,6351,0,0,0,0,0,0,0,0,0
10221,43,183.0,90.0,26.9,78099,13831,16112,10883,24555,12718,0,0,0,0,0,0,0,0,1
10222,32,193.0,100.0,26.8,78100,5891,11796,25703,26024,8686,0,0,0,0,0,0,0,0,1
10223,31,172.0,81.0,27.4,78101,6260,19585,29849,7497,14910,0,0,0,0,0,0,0,0,0
10224,19,178.0,84.0,26.5,78106,30006,14778,9752,13142,10428,0,0,0,0,0,0,0,0,1
10224,42,15.0,84.0,3733.3,78106,11188,19273,18339,16813,12493,0,0,0,0,0,0,0,0,1
10226,24,178.0,84.0,26.5,78108,19508,9521,16217,12999,19863,0,0,0,0,0,0,0,0,1
10227,31,178.0,84.0,26.5,78117,14443,25421,18516,10928,8809,0,0,0,0,0,0,0,0,1
10228,22,163.0,76.0,28.6,78118,51743,696,19294,6127,258,0,0,0,0,0,0,0,0,0
10229,34,168.0,86.0,30.5,78122,30006,8528,25566,4778,9244,0,0,0,0,0,0,0,0,0
10230,29,180.0,74.0,22.8,78123,28158,16487,11129,10031,12318,0,0,0,0,0,0,0,0,0
10231,37,183.0,77.0,23.0,78131,2898,27780,16180,15064,16209,0,0,0,0,0,0,0,0,1
10232,28,178.0,83.0,26.2,78138,43323,7574,8534,10766,7941,0,0,0,0,0,0,0,0,1
10233,25,185.0,92.0,26.9,78142,5363,10864,26664,18412,16839,0,0,0,0,0,0,0,0,1
10234,21,180.0,80.0,24.7,78156,7913,9991,41767,10584,7901,0,0,0,0,0,0,0,0,0
10235,37,180.0,88.0,27.2,78157,29001,6756,11811,10726,19863,0,0,0,0,0,0,0,0,1
10236,33,2.0,88.0,220000.0,78158,30006,7648,12761,20368,7375,0,1,0,0,0,0,0,0,0
10237,25,173.0,79.0,26.4,78160,36340,12765,4328,15953,8774,0,0,1,0,0,0,0,0,0
10237,32,168.0,74.0,26.2,78160,23544,10980,10044,16593,16999,0,0,0,0,0,0,0,0,1
10239,35,178.0,85.0,26.8,78170,29001,21672,3486,10941,13070,0,1,0,0,0,0,0,0,0
10240,26,183.0,95.0,28.4,78172,21334,7574,26459,14220,8585,0,0,0,0,0,0,0,0,1
10240,35,183.0,90.0,26.9,78172,10347,11720,25265,17169,13671,0,0,0,0,0,0,0,0,0
10242,32,180.0,86.0,26.5,78175,6260,6852,56970,5374,2719,0,0,0,0,0,0,0,0,0
10243,31,178.0,84.0,26.5,78178,17433,14134,16603,15435,14573,0,1,0,0,0,0,0,0,0
10244,31,175.0,91.0,29.7,78182,17433,14885,20603,16427,8834,0,0,0,0,0,0,0,0,1
10245,35,183.0,102.0,30.5,78202,5609,25009,13664,25146,8774,0,0,0,0,0,0,0,0,1
10246,32,188.0,90.0,25.5,78222,8179,7971,13358,34288,14426,0,0,0,0,0,0,0,0,1
10247,25,180.0,84.0,25.9,78224,12686,11736,11776,31764,10262,0,0,0,0,0,0,0,0,1
10248,39,173.0,36.0,12.0,78247,30006,18487,9433,11369,8952,0,0,0,0,0,0,0,0,0
10249,43,180.0,79.0,24.4,78252,12109,18900,18516,19076,9651,0,0,0,0,0,0,0,0,1
10250,30,190.0,109.0,30.2,78256,1266,3983,37218,27655,8134,0,0,0,0,0,0,0,0,1
10250,29,185.0,95.0,27.8,78256,19508,8561,33578,7923,8686,0,0,0,0,0,0,0,0,1
10252,38,169.0,70.0,24.5,78265,56339,9118,7098,3850,1860,0,0,0,0,0,0,0,0,0
10253,33,178.0,88.0,27.8,78268,12686,7452,17076,24642,16412,0,0,0,0,0,0,0,0,1
10254,31,170.0,74.0,25.6,78270,37269,25405,3402,5061,7133,0,0,0,0,0,0,0,0,0
10255,44,175.0,88.0,28.7,78274,29001,20846,15903,6584,5940,0,0,0,0,0,0,0,0,1
10256,31,175.0,70.0,22.9,78278,42298,16386,9940,4513,5141,0,0,0,0,0,0,0,0,0
10257,34,177.0,80.0,25.5,78283,30006,8445,12482,9252,18098,0,0,0,0,0,0,0,0,0
10258,47,185.0,92.0,26.9,78289,6260,4769,23378,39934,3948,0,0,0,0,0,0,0,0,1
10259,27,183.0,91.0,27.2,78309,11188,8641,15597,29027,13856,0,0,0,0,0,0,0,0,1
10260,41,183.0,84.0,25.1,78314,25056,12685,20929,10107,9537,1,0,0,0,0,0,0,0,0
