rank,age,height_cm,weight_kg,bmi,total_points,191_rank,192_rank,193_rank,194_rank,195_rank,Australia,Brazil,Canada,Denmark,Iceland,Russian Federation,Switzerland,United Kingdom,United States
13139,26,178.0,84.0,26.5,96499,8828,28384,14419,20150,24718,0,1,0,0,0,0,0,0,0
13140,34,175.0,78.0,25.5,96501,48983,17370,1868,18529,9751,0,0,0,0,0,0,0,0,1
13141,26,175.0,72.0,23.5,96522,25056,20459,13534,12860,24613,0,0,0,0,0,0,0,0,0
13142,17,174.0,65.0,21.5,96530,12686,56619,2339,11635,13251,0,0,0,0,0,0,0,0,0
13143,45,182.0,90.0,27.2,96534,8179,17686,25813,28293,16563,0,0,0,0,0,0,0,0,0
13144,30,190.0,93.0,25.8,96543,4263,17512,27992,32551,14225,0,0,0,0,0,0,0,0,1
13145,24,178.0,84.0,26.5,96545,25056,14516,26635,17087,13251,0,0,1,0,0,0,0,0,0
13146,36,178.0,87.0,27.5,96558,21334,29299,11168,20117,14640,1,0,0,0,0,0,0,0,0
13146,36,188.0,93.0,26.3,96558,15232,13789,30439,19414,17684,0,0,0,0,0,0,0,0,1
13148,28,178.0,84.0,26.5,96561,30006,23249,9272,14249,19785,0,0,0,0,1,0,0,0,0
13149,32,180.0,80.0,24.7,96565,22015,28182,18241,7633,20494,0,0,0,0,0,0,0,0,0
13150,24,175.0,75.0,24.5,96567,34003,24155,11910,16748,9751,0,0,0,0,0,0,0,0,0
13151,26,178.0,78.0,24.6,96573,13218,23025,10454,13665,36211,0,0,0,0,0,0,0,0,1
13152,36,175.0,80.0,26.1,96576,36340,25773,11414,13197,9852,0,1,0,0,0,0,0,0,0
13153,30,178.0,84.0,26.5,96577,12109,12788,25298,14969,31413,0,0,0,0,0,0,0,0,1
13154,36,185.0,88.0,25.7,96585,3320,8256,33566,30296,21147,0,0,0,0,0,0,0,0,1
13154,46,188.0,84.0,23.8,96585,6260,13247,31618,23529,21931,0,0,0,0,0,0,0,0,0
13156,31,185.0,91.0,26.6,96589,15232,13509,22440,22473,22935,0,0,0,0,0,0,0,0,1
13157,40,178.0,93.0,29.4,96593,15232,11595,9291,20117,40358,0,0,0,0,0,0,0,0,1
13158,32,173.0,80.0,26.7,96594,22820,9407,28356,22690,13321,0,0,0,0,0,0,0,0,0
13159,20,178.0,85.0,26.8,96595,2225,11980,12599,64704,5087,0,0,0,0,0,0,0,0,1
13160,24,178.0,77.0,24.3,96604,34698,17282,28653,9488,6483,0,0,0,0,0,0,0,0,0
13161,30,175.0,73.0,23.8,96613,39132,15072,22273,8893,11243,0,0,0,0,0,0,0,0,1
13162,24,178.0,81.0,25.6,96618,35431,5917,44641,5374,5255,0,0,0,0,0,0,0,0,1
13163,29,198.0,100.0,25.5,96620,15232,14719,19427,18970,28272,0,0,1,0,0,0,0,0,0
13164,24,170.0,77.0,26.6,96624,39132,16322,9234,17963,13973,0,0,0,0,0,0,0,0,1
13164,38,175.0,80.0,26.1,96624,22015,19406,12740,16181,26282,0,0,0,0,0,0,0,0,0
13166,34,185.0,91.0,26.6,96634,13218,10240,42047,19221,11908,0,0,0,0,0,0,0,0,1
13167,36,178.0,89.0,28.1,96646,25056,11115,34354,14462,11659,0,1,0,0,0,0,0,0,0
13168,18,176.0,75.0,24.2,96653,24248,30152,19672,10673,11908,0,0,0,0,0,0,0,0,0
13168,35,174.0,76.0,25.1,96653,15232,22266,12212,22955,23988,0,0,0,0,0,0,0,0,0
13170,29,170.0,92.0,31.8,96660,56339,7182,10525,10394,12220,0,0,0,0,0,0,0,0,1
13171,38,178.0,88.0,27.8,96661,28158,20013,31770,5061,11659,0,0,0,0,0,0,0,0,0
13172,31,178.0,84.0,26.5,96666,30006,21456,15671,21344,8189,0,0,0,0,0,0,0,0,1
13173,27,178.0,95.0,30.0,96668,25821,18027,17614,19076,16130,0,0,0,0,0,0,0,0,1
13174,28,190.0,90.0,24.9,96673,8517,11259,41702,16531,18664,1,0,0,0,0,0,0,0,0
13175,32,187.0,104.0,29.7,96686,9532,22892,7315,34543,22404,1,0,0,0,0,0,0,0,0
13176,27,178.0,84.0,26.5,96687,30006,23707,10744,22270,9960,0,0,0,0,0,0,0,0,1
13177,29,188.0,92.0,26.0,96695,2225,11171,35250,21457,26592,1,0,0,0,0,0,0,0,0
13177,36,173.0,84.0,28.1,96695,30006,18372,7102,25768,15447,0,0,0,0,0,0,0,0,1
13179,27,180.0,85.0,26.2,96696,23544,15280,29975,10129,17768,0,0,0,0,0,0,0,0,0
13180,34,178.0,81.0,25.6,96700,25821,12846,15227,16214,26592,0,0,0,0,0,0,0,0,0
13181,28,178.0,84.0,26.5,96704,10347,30603,33576,11916,10262,0,0,0,0,0,0,0,0,1
13182,23,180.0,90.0,27.8,96707,6260,13365,33773,22270,21039,0,0,0,0,0,0,0,0,0
13183,24,185.0,86.0,25.1,96708,8517,32618,26675,14925,13973,0,0,0,0,0,0,0,0,0
13184,32,176.0,76.0,24.5,96728,30006,18764,23640,9961,14357,1,0,0,0,0,0,0,0,0
13185,36,167.0,70.0,25.1,96732,48983,7302,28912,5374,6161,0,0,0,0,0,0,0,0,0
13185,28,170.0,73.0,25.3,96732,26601,14957,27262,12514,15398,0,0,0,0,0,0,0,0,1
13187,27,187.0,86.0,24.6,96739,23544,25842,11584,9177,26592,0,0,0,0,0,0,0,0,0
13188,29,186.0,86.0,24.9,96745,6260,25597,20910,27769,16209,1,0,0,0,0,0,0,0,0
13189,32,178.0,77.0,24.3,96749,22015,20206,21245,13420,19863,1,0,0,0,0,0,0,0,0
13190,33,180.0,93.0,28.7,96751,18902,12046,13930,20460,31413,0,0,0,0,0,0,0,0,1
13191,26,180.0,92.0,28.4,96752,8179,25174,7815,17933,37651,0,0,0,0,0,0,0,0,1
13192,34,188.0,94.0,26.6,96754,10347,17936,31672,14771,22028,0,0,0,0,0,0,0,0,1
13193,27,189.0,91.0,25.5,96758,4263,14601,48774,20207,8913,0,0,1,0,0,0,0,0,0
13194,46,178.0,82.0,25.9,96765,22820,14364,27716,15146,16719,0,0,0,0,0,0,0,0,1
13195,21,173.0,83.0,27.7,96786,15232,19246,22151,13565,26592,0,0,0,0,0,0,0,0,0
13196,18,178.0,83.0,26.2,96789,10735,20459,32023,19901,13671,0,0,0,0,0,0,0,0,1
13197,25,188.0,92.0,26.0,96802,5891,42541,13358,13784,21228,0,0,0,0,0,0,0,0,0
13198,28,178.0,94.0,29.7,96803,23544,5393,31564,11459,24843,0,0,0,0,0,0,0,0,0
13199,30,178.0,79.0,24.9,96830,56339,12901,2787,5879,18924,0,0,0,0,0,0,0,0,1
13200,41,193.0,100.0,26.8,96845,3482,10845,56884,14969,10665,0,0,0,0,0,0,0,0,1
13201,23,175.0,91.0,29.7,96850,17871,11902,21680,20431,24966,0,0,0,0,0,0,0,0,1
13202,36,170.0,76.0,26.3,96860,34698,15103,8799,18006,20254,0,0,0,0,0,0,0,0,1
13203,21,175.0,79.0,25.8,96871,22820,15261,29873,17108,11809,0,0,0,0,0,0,0,0,1
13204,25,178.0,84.0,26.5,96901,28158,17791,18524,18995,13433,0,0,0,0,0,0,0,0,1
13205,35,173.0,82.0,27.4,96911,25056,23882,27874,7548,12551,0,0,0,0,0,0,0,0,1
13206,31,183.0,84.0,25.1,96917,12109,10216,18365,33500,22727,0,0,1,0,0,0,0,0,0
13207,22,178.0,80.0,25.2,96928,29001,14011,20814,23689,9413,0,0,0,0,0,0,0,0,1
13208,35,172.0,92.0,31.1,96937,9532,9640,16996,32910,27859,0,1,0,0,0,0,0,0,0
13209,37,157.0,66.0,26.8,96939,69077,6171,2122,10117,9452,0,0,0,0,0,0,0,0,1
13209,29,187.0,95.0,27.2,96939,17871,16031,13493,25441,24103,1,0,0,0,0,0,0,0,0
13211,27,167.0,68.0,24.4,96941,25056,14970,38204,4611,14100,0,0,0,0,0,0,0,0,0
13212,22,174.0,75.0,24.8,96968,44376,12637,6097,5999,27859,0,1,0,0,0,0,0,0,0
13213,29,178.0,84.0,26.5,96979,12109,9702,46425,12250,16493,1,0,0,0,0,0,0,0,0
13214,37,176.0,82.0,26.5,96981,57100,9459,6435,7778,16209,0,0,0,0,0,0,0,0,0
13215,27,175.0,75.0,24.5,96985,40098,13226,22627,7846,13188,0,0,1,0,0,0,0,0,0
13216,34,183.0,93.0,27.8,96990,14443,9224,55035,14164,4124,0,0,0,0,0,0,0,0,1
13217,34,178.0,90.0,28.4,96994,62995,8528,6254,14038,5179,0,0,0,0,0,0,0,0,1
13218,27,182.0,82.0,24.8,97000,1266,19788,35348,25078,15520,1,0,0,0,0,0,0,0,0
13219,39,168.0,74.0,26.2,97023,51743,12289,21478,6258,5255,0,0,0,0,0,0,0,0,0
13220,27,193.0,100.0,26.8,97025,2225,13405,18309,38243,24843,0,0,0,0,0,0,0,0,1
13220,34,178.0,69.0,21.8,97025,48983,18779,5141,17838,6284,0,0,0,0,0,0,0,0,0
13220,34,172.0,85.0,28.7,97025,51743,9015,10112,16504,9651,0,0,0,0,0,1,0,0,0
13223,22,178.0,75.0,23.7,97031,22015,7421,30239,22446,14910,0,0,0,0,0,0,0,1,0
13224,27,176.0,85.0,27.4,97035,12686,23505,11623,26912,22309,0,0,0,0,0,0,0,0,0
13225,33,185.0,91.0,26.6,97039,25821,22386,13729,15146,19957,0,0,1,0,0,0,0,0,0
13226,34,183.0,93.0,27.8,97043,30006,6455,30028,17600,12954,0,0,0,0,0,0,0,0,1
13227,32,175.0,83.0,27.1,97047,36340,11370,22388,16902,10047,0,0,0,0,0,0,0,0,0
13228,22,190.0,82.0,22.7,97051,24248,24134,10567,21457,16645,0,0,0,0,0,0,0,0,1
13229,18,185.0,75.0,21.9,97054,30006,11720,6907,32901,15520,0,0,0,0,0,1,0,0,0
13229,40,170.0,71.0,24.6,97054,23544,7996,42107,12451,10956,0,0,0,0,0,0,0,0,0
13231,32,174.0,80.0,26.4,97056,29001,13566,24362,7723,22404,1,0,0,0,0,0,0,0,0
13232,26,190.0,95.0,26.3,97057,10347,15122,20634,24362,26592,0,0,0,0,0,0,0,0,1
13233,28,175.0,84.0,27.4,97060,30006,25405,21422,11162,9065,0,0,0,0,0,0,0,0,1
13234,28,188.0,80.0,22.6,97076,23544,17184,16090,28247,12011,0,0,0,0,0,0,0,0,1
13235,42,183.0,95.0,28.4,97095,12686,15855,23980,31323,13251,0,0,0,0,0,0,0,0,1
13236,32,172.0,80.0,27.0,97103,43323,11022,7388,11946,23424,0,0,0,0,0,0,0,0,0
13237,21,178.0,74.0,23.4,97107,10735,13153,22292,22100,28827,0,0,0,0,0,0,0,0,0
13238,30,172.0,77.0,26.0,97111,29001,14398,17435,14249,22028,0,0,0,0,0,0,0,0,0
13239,31,170.0,74.0,25.6,97125,36340,9099,23701,12465,15520,0,0,0,0,0,0,0,0,0
13240,30,178.0,84.0,26.5,97136,21334,28701,9750,18923,18428,0,1,0,0,0,0,0,0,0
13240,36,178.0,79.0,24.9,97136,25056,12649,21238,18006,20187,0,0,0,0,0,0,0,0,0
13242,31,175.0,75.0,24.5,97141,9532,44640,6194,24555,12220,0,0,0,0,0,0,0,0,1
13243,31,178.0,75.0,23.7,97161,42298,19429,16217,10632,8585,0,0,0,0,0,0,0,0,0
13244,32,172.0,80.0,27.0,97165,21334,20068,35663,6127,13973,0,0,0,0,0,0,1,0,0
13245,30,178.0,84.0,26.5,97173,4465,12025,33906,23842,22935,0,0,0,0,0,1,0,0,0
13246,28,178.0,84.0,26.5,97177,64185,9264,13657,2658,7413,0,0,0,0,0,0,0,0,1
13247,29,176.0,78.0,25.2,97180,5363,16474,8946,20207,46190,1,0,0,0,0,0,0,0,0
13248,33,178.0,84.0,26.5,97190,34698,21753,6916,14720,19103,0,0,0,0,0,0,0,0,1
13249,33,175.0,88.0,28.7,97192,18902,13789,41686,11416,11399,0,0,0,0,0,0,0,0,1
13250,32,180.0,88.0,27.2,97202,1939,14222,26720,42466,11855,0,0,0,0,0,0,0,1,0
13251,33,180.0,82.0,25.3,97212,5363,24713,31666,21044,14426,0,0,0,0,0,0,0,0,1
13252,34,178.0,73.0,23.0,97214,22015,24350,33764,13176,3909,0,0,0,0,0,0,0,0,1
13253,38,178.0,93.0,29.4,97228,19508,15492,9962,32813,19453,0,0,0,0,0,0,0,0,1
13254,29,180.0,72.0,22.2,97238,45485,19293,9986,7627,14847,0,0,0,0,0,0,0,0,0
13255,25,178.0,84.0,26.5,97254,7433,6279,74640,4778,4124,0,0,0,0,0,0,0,0,1
13256,24,186.0,99.0,28.6,97259,6260,33018,8328,23061,26592,0,1,0,0,0,0,0,0,0
13257,23,176.0,85.0,27.4,97262,22820,22714,8123,19137,24468,0,0,0,0,0,0,0,0,0
13258,26,178.0,84.0,26.5,97264,17433,15385,6250,17838,40358,0,0,1,0,0,0,0,0,0
13258,25,178.0,84.0,26.5,97264,30006,25421,15155,8414,18268,0,0,0,0,0,0,0,0,0
13260,27,176.0,75.0,24.2,97281,18902,51974,5401,12230,8774,0,0,0,1,0,0,0,0,0
13261,27,186.0,83.0,24.0,97290,9881,11522,22015,42158,11714,0,0,0,0,0,0,0,0,0
13262,31,178.0,84.0,26.5,97294,973,15649,31759,33233,15680,0,0,0,0,0,0,0,0,0
13263,29,173.0,69.0,23.1,97301,44376,19087,20797,5061,7980,0,0,0,0,0,0,0,0,0
13264,24,186.0,82.0,23.7,97303,15232,9831,9713,21260,41267,1,0,0,0,0,0,0,0,0
13265,28,176.0,78.0,25.2,97308,15232,14821,25298,23689,18268,0,0,0,0,0,0,0,0,0
13266,27,178.0,82.0,25.9,97309,27384,23111,22825,12330,11659,0,0,0,0,0,0,0,0,1
13267,29,170.0,82.0,28.4,97310,51743,14128,13149,14462,3828,0,1,0,0,0,0,0,0,0
13267,25,175.0,91.0,29.7,97310,15232,14927,44246,14771,8134,0,0,0,0,0,0,0,0,1
13269,31,170.0,75.0,26.0,97311,23544,30502,8073,22189,13003,0,0,0,0,0,0,0,0,1
13270,26,178.0,84.0,26.5,97315,22015,15041,39552,7871,12836,0,0,0,0,0,0,0,0,0
13271,34,181.0,84.0,25.6,97317,25821,19669,12828,16690,22309,1,0,0,0,0,0,0,0,0
13272,28,178.0,79.0,24.9,97318,20070,16889,17120,19815,23424,0,0,1,0,0,0,0,0,0
13273,27,170.0,67.0,23.2,97324,47717,3825,15471,4432,25879,0,0,0,0,0,1,0,0,0
13274,22,178.0,84.0,26.5,97327,43323,22296,2708,7408,21592,0,0,0,0,0,0,0,0,0
13275,42,178.0,84.0,26.5,97328,22015,35346,7756,20117,12094,0,0,0,0,0,0,0,0,0
13276,40,185.0,104.0,30.4,97330,10347,12234,25235,32795,16719,0,0,0,0,0,0,0,0,1
13277,30,173.0,75.0,25.1,97336,40098,11454,1954,21103,22727,0,0,0,0,0,0,0,0,0
13277,26,187.0,95.0,27.2,97336,3020,21866,17267,36080,19103,0,1,0,0,0,0,0,0,0
13279,21,182.0,80.0,24.2,97339,25056,29448,7292,14149,21394,1,0,0,0,0,0,0,0,0
13280,25,179.0,82.0,25.6,97345,6260,27063,22151,25226,16645,0,0,0,1,0,0,0,0,0
13281,28,180.0,91.0,28.1,97357,9532,6993,59273,8076,13483,0,1,0,0,0,0,0,0,0
13282,40,178.0,104.0,32.8,97360,15232,6526,30606,22364,22632,0,0,0,0,0,0,0,0,1
13283,20,175.0,70.0,22.9,97364,57967,14912,5524,12345,6616,0,0,0,0,0,0,0,0,1
13284,27,178.0,84.0,26.5,97381,15232,28158,20771,9555,23665,0,0,0,0,0,0,0,1,0
13285,29,168.0,70.0,24.8,97383,50223,10705,12903,3595,19957,0,0,0,0,0,0,0,0,1
13286,31,175.0,77.0,25.1,97397,12686,17550,25425,18505,23231,0,0,0,0,0,0,0,0,1
13287,29,182.0,79.0,23.8,97429,30006,24065,21629,9011,12718,0,0,0,0,0,0,0,0,0
13287,37,190.0,91.0,25.2,97429,12686,18468,26500,25550,14225,0,0,0,0,0,0,0,0,1
13289,29,2.0,93.0,232500.0,97432,12686,22940,18385,14594,28827,0,0,0,0,0,0,0,0,0
13290,20,178.0,75.0,23.7,97437,20685,28766,18022,17578,12386,0,0,0,1,0,0,0,0,0
13291,42,180.0,78.0,24.1,97451,15232,27914,18371,12999,22935,0,0,0,0,0,0,0,0,1
13292,30,170.0,72.0,24.9,97452,38189,4948,44652,2372,7291,0,0,0,0,0,0,0,0,0
13293,28,178.0,84.0,26.5,97455,69077,7342,9998,4190,6848,0,0,0,0,0,0,0,0,0
13294,32,444.0,84.0,4.3,97457,25821,25597,21291,13089,11659,0,0,0,0,0,1,0,0,0
13295,24,178.0,91.0,28.7,97464,27384,25052,18635,8380,18013,0,0,0,0,0,1,0,0,0
13296,30,180.0,85.0,26.2,97468,12686,38805,8719,27507,9751,0,0,0,0,0,0,0,0,0
13297,25,187.0,100.0,28.6,97469,9881,30152,32042,16329,9065,0,0,0,0,0,0,0,0,0
13297,39,175.0,83.0,27.1,97469,46622,13978,15557,11561,9751,0,0,0,0,0,0,0,0,1
13299,28,178.0,84.0,26.5,97474,39132,15305,5969,18970,18098,0,1,0,0,0,0,0,0,0
13300,36,186.0,107.0,30.9,97479,29001,13926,11705,32182,10665,0,0,0,0,0,0,0,0,0
13301,25,167.0,69.0,24.7,97490,69077,10039,6124,5999,6251,0,0,0,0,0,0,0,0,0
13302,31,178.0,86.0,27.1,97491,15232,13177,18408,33895,16779,0,0,0,0,0,0,0,0,1
13303,35,190.0,100.0,27.7,97496,1564,7597,37207,20339,30789,0,0,0,0,0,0,0,0,0
13304,21,179.0,80.0,25.0,97498,38189,7145,28525,13440,10199,0,0,0,0,0,0,0,1,0
13305,32,178.0,87.0,27.5,97502,15232,6474,23854,37516,14426,0,0,0,0,0,0,0,0,1
13306,28,188.0,88.0,24.9,97508,2684,23216,37235,20207,14166,0,0,0,0,0,0,0,0,0
13307,25,183.0,78.0,23.3,97510,46622,21304,11280,3457,14847,0,0,0,0,0,0,0,0,1
13308,20,170.0,80.0,27.7,97516,11645,20846,33706,16531,14788,0,0,0,0,0,0,0,0,1
13309,36,170.0,70.0,24.2,97517,70344,5054,9272,5999,6848,1,0,0,0,0,0,0,0,0
13310,35,15.0,86.0,3822.2,97520,24248,19166,23980,19744,10382,0,0,0,0,0,0,0,0,1
13311,37,183.0,81.0,24.2,97524,9532,16487,20841,24832,25832,0,0,0,0,0,0,0,0,0
13311,29,178.0,84.0,26.5,97524,13218,24581,23397,15464,20864,0,0,0,0,0,0,0,0,0
13313,31,163.0,72.0,27.1,97526,42298,14381,14805,8186,17856,0,0,0,0,0,0,0,0,1
13314,34,178.0,84.0,26.5,97527,12109,27454,15089,16593,26282,1,0,0,0,0,0,0,0,0
13315,27,183.0,91.0,27.2,97531,12686,7158,46345,17797,13545,0,0,0,0,0,0,0,0,1
13316,27,173.0,69.0,23.1,97534,20070,44631,8730,14771,9332,0,0,0,0,0,0,0,0,0
13317,43,178.0,79.0,24.9,97551,18387,9533,47238,9675,12718,0,0,0,0,0,0,0,0,1
13317,27,180.0,87.0,26.9,97551,15232,11868,39962,15286,15203,0,0,0,0,0,0,0,0,1
13319,26,173.0,86.0,28.7,97552,45485,11392,22100,8096,10479,0,0,0,0,0,0,0,0,1
13320,26,177.0,89.0,28.4,97554,23544,10343,16110,26974,20583,1,0,0,0,0,0,0,0,0
13321,33,177.0,90.0,28.7,97555,19508,20815,24248,18558,14426,0,1,0,0,0,0,0,0,0
13322,30,183.0,84.0,25.1,97583,3675,20366,25227,16902,31413,0,0,1,0,0,0,0,0,0
13323,36,178.0,84.0,26.5,97584,17433,27235,25369,18676,8871,0,0,0,0,0,0,0,0,1
13324,30,180.0,80.0,24.7,97589,11188,25368,10939,19861,30233,0,0,0,0,0,0,0,0,0
13325,31,175.0,77.0,25.1,97592,40098,8528,13664,27073,8229,0,0,0,0,0,0,0,0,1
13326,38,160.0,66.0,25.8,97599,43323,12396,11998,11376,18506,0,0,0,0,0,0,0,0,1
13327,30,180.0,91.0,28.1,97606,17871,15839,32864,18384,12648,0,0,0,0,0,0,0,0,0
13328,38,183.0,86.0,25.7,97615,22015,3692,41587,17367,12954,0,0,0,0,0,0,0,0,1
13329,33,178.0,84.0,26.5,97620,4068,8753,26617,48282,9900,0,0,1,0,0,0,0,0,0
13330,33,168.0,79.0,28.0,97621,30006,14601,16728,24887,11399,0,0,0,0,0,0,0,0,1
13331,28,180.0,88.0,27.2,97622,15232,10144,28400,24555,19291,0,0,0,0,0,0,0,0,1
13331,23,181.0,80.0,24.4,97622,15232,16856,15202,22473,27859,0,0,0,0,0,0,0,0,0
13333,23,183.0,77.0,23.0,97635,25821,17512,21004,17037,16261,0,0,1,0,0,0,0,0,0
13334,49,183.0,88.0,26.3,97638,10735,29899,22748,8878,25378,0,0,0,0,0,0,0,0,1
13335,34,175.0,82.0,26.8,97639,27384,12846,23898,12117,21394,0,0,0,0,0,0,0,0,1
13336,35,181.0,83.0,25.3,97641,25821,24036,11793,13359,22632,0,1,0,0,0,0,0,0,0
13337,36,178.0,91.0,28.7,97644,23544,22041,8521,22955,20583,0,0,0,0,0,0,0,0,1
13338,33,193.0,98.0,26.3,97649,1683,11627,44081,24430,15828,0,0,0,0,0,0,0,0,1
13339,31,180.0,84.0,25.9,97651,15232,7039,35445,14969,24966,0,0,0,0,0,0,0,0,1
13340,38,170.0,75.0,26.0,97662,41254,31183,2134,10088,13003,1,0,0,0,0,0,0,0,0
13341,32,178.0,77.0,24.3,97666,25821,14719,23764,18159,15203,0,0,0,0,0,0,0,0,1
13342,34,180.0,82.0,25.3,97667,23544,18795,31759,11607,11962,0,0,0,0,0,0,0,0,0
13343,26,174.0,88.0,29.1,97668,15232,13065,25121,15978,28272,0,0,0,0,0,0,0,1,0
13344,35,167.0,65.0,23.3,97680,37269,16411,32580,1968,9452,0,0,0,0,0,0,0,0,0
13345,30,178.0,84.0,26.5,97688,9881,16073,23898,39856,7980,0,0,0,0,0,0,0,0,1
13346,16,178.0,79.0,24.9,97697,13218,34454,9940,19137,20948,0,0,0,0,0,0,0,0,1
13347,37,175.0,83.0,27.1,97701,12109,10980,40663,25078,8871,0,0,0,0,0,0,0,0,1
13348,31,178.0,83.0,26.2,97704,34698,19039,25473,9206,9288,0,0,1,0,0,0,0,0,0
13349,36,178.0,88.0,27.8,97705,5891,18027,37912,19901,15974,0,0,0,0,0,0,0,0,1
13350,40,178.0,84.0,26.5,97706,13831,9940,18813,30022,25100,0,0,0,0,0,0,0,0,1
13351,37,175.0,75.0,24.5,97709,17871,23950,14888,17443,23557,0,1,0,0,0,0,0,0,0
13352,38,178.0,84.0,26.5,97710,35431,23034,9208,9608,20429,0,0,0,0,0,0,0,0,0
13353,28,178.0,100.0,31.6,97713,601,51584,21983,13283,10262,0,0,0,0,0,0,0,0,1
13354,23,168.0,64.0,22.7,97721,35431,12875,1007,33835,14573,0,0,0,0,0,0,0,0,0
13355,29,173.0,79.0,26.4,97724,18902,17936,27211,10740,22935,0,0,0,0,0,0,0,0,0
13356,20,175.0,82.0,26.8,97728,39132,22981,14382,8230,13003,0,0,0,0,0,0,0,0,1
13357,35,172.0,72.0,24.3,97729,18387,23891,31981,11376,12094,0,0,0,0,0,0,0,0,0
13358,34,183.0,91.0,27.2,97733,15232,9785,31803,22725,18188,0,0,0,0,0,0,0,0,1
13359,42,190.0,88.0,24.4,97738,12109,15173,46474,15111,8871,0,0,0,0,0,0,0,0,1
13360,28,172.0,81.0,27.4,97740,22820,14643,12503,19915,27859,0,0,0,0,0,0,0,0,0
13361,20,175.0,81.0,26.4,97741,15232,9154,25583,27732,20040,0,0,0,0,0,0,0,0,1
13362,31,175.0,78.0,25.5,97747,27384,17686,12330,22955,17392,1,0,0,0,0,0,0,0,0
13363,31,178.0,79.0,24.9,97749,22015,11703,25242,23391,15398,0,0,0,0,0,0,0,0,1
13364,32,175.0,82.0,26.8,97750,8179,19938,35598,22226,11809,0,0,0,0,0,0,0,0,1
13365,36,178.0,93.0,29.4,97763,30006,21105,13258,19849,13545,0,0,0,0,0,0,0,0,1
13366,27,178.0,84.0,26.5,97765,40098,14425,7999,19723,15520,0,0,0,0,0,0,0,0,1
13367,23,183.0,84.0,25.1,97769,12686,35165,16285,20857,12776,0,0,0,0,0,0,0,0,1
13368,45,172.0,82.0,27.7,97782,36340,9241,30772,11892,9537,0,0,0,0,0,0,0,0,0
13369,30,173.0,79.0,26.4,97783,34698,15534,11871,12845,22835,0,0,1,0,0,0,0,0,0
13370,27,173.0,70.0,23.4,97784,24248,30830,8449,16244,18013,0,0,0,0,0,0,0,0,1
13371,47,178.0,83.0,26.2,97791,26601,34111,9138,17679,10262,0,0,0,0,0,0,0,0,0
13372,39,185.0,86.0,25.1,97815,22015,26556,20228,13958,15058,0,0,0,0,0,0,0,0,1
13373,31,170.0,75.0,26.0,97825,48983,13177,15533,5492,14640,0,0,0,0,0,0,0,0,1
13374,33,186.0,99.0,28.6,97840,7652,32275,6033,35235,16645,0,0,0,0,0,0,0,0,0
13375,19,173.0,64.0,21.4,97848,40098,10670,31912,3260,11908,0,0,0,0,0,0,0,0,1
13376,25,184.0,88.0,26.0,97880,25821,10705,13389,15422,32543,0,0,1,0,0,0,0,0,0
13377,20,183.0,83.0,24.8,97913,9881,24783,21381,11635,30233,0,0,0,0,0,0,0,0,0
13378,16,178.0,84.0,26.5,97915,38189,12828,16569,12645,17684,0,0,0,0,0,0,0,0,0
13379,40,173.0,83.0,27.7,97931,22015,6324,42081,16214,11297,0,0,0,0,0,0,0,0,1
13380,28,178.0,75.0,23.7,97932,8179,19517,26553,33783,9900,0,0,0,0,0,0,0,0,1
13381,30,162.0,77.0,29.3,97934,69077,10766,10141,4875,3075,0,0,0,0,0,0,0,0,0
13382,30,178.0,84.0,26.5,97938,24248,16241,21532,18614,17303,0,0,0,0,0,0,0,0,0
13383,25,175.0,79.0,25.8,97943,51743,18598,7119,6258,14225,0,0,0,0,0,0,0,0,1
13384,39,178.0,84.0,26.5,97949,30006,15626,7345,29842,15130,0,0,0,0,0,0,0,0,1
13385,18,178.0,84.0,26.5,97953,11645,7072,62387,8522,8327,0,0,0,0,0,0,0,0,1
13386,29,178.0,84.0,26.5,97967,29001,24624,13905,18529,11908,0,0,0,0,0,0,0,0,1
13387,41,178.0,84.0,26.5,97971,35431,13607,16472,16405,16056,0,0,0,0,0,0,0,0,1
13388,37,178.0,80.0,25.2,97974,34698,19769,18311,18159,7037,0,0,0,0,0,0,0,0,0
13388,37,168.0,79.0,28.0,97974,50223,7551,22748,8164,9288,0,0,1,0,0,0,0,0,0
13390,38,188.0,83.0,23.5,97981,18387,27088,17155,12826,22525,0,0,0,0,0,0,0,0,1
13391,30,175.0,75.0,24.5,97990,29001,18487,21891,15835,12776,0,0,0,0,0,1,0,0,0
13392,41,185.0,95.0,27.8,97992,12109,20366,51434,5756,8327,0,0,0,0,0,0,0,0,1
13392,35,174.0,78.0,25.8,97992,26601,12496,31413,18320,9162,0,0,0,0,0,0,0,0,0
13394,37,183.0,86.0,25.7,97994,19508,14249,28133,20534,15570,0,0,1,0,0,0,0,0,0
13395,37,188.0,87.0,24.6,98003,12109,27960,14276,34007,9651,0,0,0,0,0,0,0,0,1
13396,28,178.0,84.0,26.5,98007,30006,29495,7887,20082,10537,0,0,0,0,0,0,0,0,0
13397,27,178.0,84.0,26.5,98010,30006,15649,15722,26982,9651,0,0,0,0,0,0,0,0,1
13397,30,178.0,84.0,26.5,98010,25056,25380,12649,13531,21394,0,0,0,0,0,0,0,0,0
13399,28,170.0,73.0,25.3,98015,25056,16267,39693,5756,11243,1,0,0,0,0,0,0,0,0
13400,39,170.0,82.0,28.4,98032,25821,41087,13782,10726,6616,0,0,0,0,0,0,0,0,1
